,ACRES,lat,lon
4,0.89,42.01933233897205,-87.66405025628663
5,5.05,41.68478426640253,-87.66639909058227
6,91.2,41.863104937710304,-87.60910669563046
7,0.53,41.811541485828116,-87.71908521574412
8,0.16,41.96626558405787,-87.65608306077826
9,0.14,41.96633650221359,-87.72806057546708
10,1.43,41.831621507167334,-87.65398994915431
11,0.23,41.92590990310953,-87.669389261378
12,0.34,42.0017003204525,-87.67418516969529
13,3.68,41.79490105872119,-87.73204913465142
14,1.15,41.92230000000001,-87.65132999999997
15,14.0,41.965486014732136,-87.78205497599659
16,0.41,42.00988000000007,-87.66939999999994
17,6.45,41.87230218040179,-87.65892259187221
18,3.69,41.93491518524245,-87.79566871618825
19,0.09,41.817378592813895,-87.59932159336516
20,11.93,41.94441192501492,-87.73957059127865
21,0.38,41.79908478235347,-87.59669827623404
22,0.14,41.89836366935208,-87.67345419695044
23,3.18,41.99503943484097,-87.65549002266863
24,5.63,41.71607792886038,-87.63706013315687
25,0.22,41.9771711048617,-87.66957070816875
26,8.12,41.90318000000002,-87.68408
27,7.32,41.881730000000005,-87.63661000000002
28,30.17,41.712690000000066,-87.55551000000003
29,2.67,41.83556866674708,-87.68465399204362
30,0.91,41.92274415577011,-87.68519460358583
31,0.19,41.958757660955214,-87.67237944927243
32,8.51,41.84466313434372,-87.62815699255205
33,0.21,41.87280942088451,-87.70662934248283
34,0.29,41.914866226757596,-87.69111801328472
35,1.64,41.867510438583324,-87.62930348865072
36,8.29,41.94266495937265,-87.76179260459307
37,14.06,41.98749492038529,-87.70239062431834
38,0.24,41.90318000000002,-87.68408
39,0.35,41.77667236282613,-87.68093438597352
40,0.14,41.93467008559948,-87.69517170103428
41,0.29,41.897790204040724,-87.68682058538546
42,2.84,41.68113721674697,-87.6469446831586
43,0.78,41.912213906210134,-87.7238787763433
44,12.97,41.801045614422165,-87.58465923203076
45,0.14,41.87008707497714,-87.69666814336654
46,2.69,41.76175531219116,-87.62863768165641
47,1.02,41.887986664897596,-87.64419755533602
48,0.87,41.95603266149912,-87.74174200730903
49,0.27,41.977621783253085,-87.80860081880333
50,0.22,41.77804436889018,-87.63379874809212
51,8.79,42.00926431907137,-87.80674833549057
52,15.46,41.91289757680437,-87.78068935572418
53,3.62,41.69908351757595,-87.54274906753841
54,0.2,41.9623905332709,-87.66084729554854
55,0.66,41.90715289496749,-87.67091902665061
56,3.08,41.8576063949842,-87.62230975314412
57,18.59,41.94534958225733,-87.79940650909089
58,0.28,41.98278712846933,-87.6612907449271
59,0.14,41.841600260194724,-87.71111278064987
60,16.6,41.78068716003814,-87.77654377543566
61,22.01,41.97233198247668,-87.68408380408277
62,0.82,41.75757054053217,-87.59920409585648
63,11.47,41.74462719880706,-87.54986486051457
64,8.47,41.86145017005325,-87.7335103632115
65,0.72,41.939630246094445,-87.67885974200806
66,0.15,41.78022134404578,-87.60296009555294
67,8.48,41.75393597369671,-87.6346790715976
68,0.2,41.89404898571467,-87.71618727055008
69,4.32,41.87472755936259,-87.69364670414106
70,0.14,41.93998269268468,-87.64574625066184
71,0.29,41.971839999999986,-87.66115999999994
72,69.28,41.82310473796484,-87.68047137539776
73,8.5,41.92870143745059,-87.73771366772635
74,2.54,42.01293241179647,-87.66199860447963
75,0.16,41.89410237601356,-87.67344466515509
76,9.02,41.80925041646639,-87.62819622096008
77,3.24,41.89472000000006,-87.61860999999999
78,0.83,41.91618378081068,-87.6831756500542
79,1.11,41.911035639225574,-87.69098958587165
80,0.07,41.86531635985171,-87.7299671330612
81,9.46,41.80425749043362,-87.59437365881377
82,8.81,41.96471787044065,-87.75809563327728
83,0.68,41.93343782128256,-87.6614948892306
84,0.28,41.73501928081332,-87.71420522719168
85,0.24,41.8161909483838,-87.62132413903343
86,9.86,41.827592483723315,-87.61155399897748
87,1.13,41.845090000000084,-87.62737999999996
88,0.42,41.74599224839152,-87.57701688886063
89,1.02,41.863838696647235,-87.62236371246593
90,6.8,41.738452014520156,-87.60920305068292
91,4.57,41.89472000000006,-87.61860999999999
92,3.2,41.87844122282727,-87.75277570429367
93,16.73,41.77486846672091,-87.7283393427522
94,0.86,41.826934302334955,-87.62050848158908
95,0.28,41.90263542509576,-87.73379295939455
96,15.23,41.687124254843184,-87.65566117306987
97,0.26,41.90213862028706,-87.76176419500287
98,20.11,41.79046438880159,-87.77920389052484
99,1.75,41.98954807628543,-87.66018859961147
100,1.21,41.71198599832957,-87.66892191011289
101,7.08,41.81925144080563,-87.6935789046583
102,2.94,41.95449190566012,-87.65697200955285
103,304.07,41.712690000000066,-87.55551000000003
104,0.93,42.02181250960071,-87.66536363599903
105,0.14,41.805775687565415,-87.66254216002604
106,4.75,41.70734399383694,-87.66017862660087
107,6.2,41.776039999999966,-87.63983999999999
108,1.07,41.99949253448022,-87.76617078882731
109,1.95,41.798845006791744,-87.79663650514799
110,0.14,41.83532668245461,-87.65587675796482
111,3.33,41.99052241279075,-87.69604639463594
112,2.85,41.928930069079584,-87.65427493421693
113,0.52,41.99167000000011,-87.6678
114,206.09,41.906693617480535,-87.7014131186496
115,1.99,42.022583471519035,-87.67364469534711
116,0.3,41.935341406119036,-87.65159918827251
117,0.13,41.93723462372725,-87.70185590207119
118,8.79,42.014485477971654,-87.6787052507677
119,0.88,41.877860000000055,-87.62648000000002
120,1.25,41.979014285330436,-87.7731836878807
121,2.76,41.87585201106498,-87.70238183469166
122,0.14,41.86392829094587,-87.71647126178505
123,5.63,41.855164484165776,-87.65389054340902
124,0.39,41.755031462526105,-87.5903557283385
125,4.88,41.67987659512123,-87.61635219604528
126,1.13,41.849875033450495,-87.71669788114704
127,609.29,41.845090000000084,-87.62737999999996
128,9.0,41.80306963075374,-87.72209263301649
129,22.74,41.72158307459381,-87.62560647724794
130,0.29,41.90261928688547,-87.72470038444439
131,1.61,41.92858175299534,-87.6903045158381
132,0.27,41.894908077026976,-87.67954222776295
133,0.18,41.94948343722664,-87.67020940151451
134,0.85,41.89879205351077,-87.73681629895835
135,0.23,41.85857562965018,-87.62708608379344
136,2.74,41.92191056515937,-87.685561589187
137,6.35,42.01485083190631,-87.67251926344815
138,18.31,41.749472777639994,-87.73073129753891
139,20.0,41.65913187664142,-87.54944580201155
140,0.37,41.88757806575711,-87.7135424757697
141,0.14,41.86031240310462,-87.72750181248382
142,2.01,41.831860596609225,-87.67891846917935
143,0.8,41.94519566416695,-87.7029456993755
144,3.87,41.94658165070525,-87.71667626407998
145,16.87,41.78713994386255,-87.73269479912462
146,0.76,41.995040779551374,-87.77085244329055
147,366.84,41.78082999999998,-87.60190999999998
148,0.88,41.69165451197194,-87.60845763547245
149,2.89,41.90442000000013,-87.63700999999998
150,0.79,42.008947572165,-87.67892210312809
151,4.51,41.89260113949592,-87.61633395212125
152,0.93,41.80158755973838,-87.64895563253063
153,0.65,41.80544231703133,-87.61812558678079
154,4.65,41.98744324895065,-87.7382253623636
155,6.48,41.98852156624821,-87.71220310536248
156,0.13,41.93366515095858,-87.69922683622022
157,0.82,41.89684581350813,-87.62164170332684
158,0.27,41.7623353614593,-87.58566752709172
159,0.29,41.91135581463479,-87.74939985175902
160,0.4,41.82903552510654,-87.64121494764093
161,0.34,41.92802843601394,-87.65863511228027
162,10.19,41.99967129216193,-87.81502964749822
163,18.9,41.75576118612808,-87.60157757899319
164,0.2,41.8176359971553,-87.62458343398094
165,64.5,41.76674595610796,-87.56639757095289
166,7.16,41.967940558359835,-87.76265759863169
167,5.27,41.7776027072577,-87.73492285765309
168,20.76,41.838433980091146,-87.62185872413626
169,15.02,41.74567090884364,-87.63165381894771
170,87.61,42.001903187081425,-87.68991553987459
171,9.11,41.95287297119249,-87.78515071066339
172,17.36,41.85777542854532,-87.63451185843203
173,0.86,41.7269391234841,-87.63876273352142
174,13.86,41.972180578990766,-87.70386394284618
175,1.36,41.929394088702225,-87.7123016855532
176,54.84,41.96121642252109,-87.69763588713187
177,0.42,41.89145773962588,-87.74324905079695
178,0.66,41.91656504308353,-87.65524387525684
179,1.46,41.75426401359369,-87.63990966510175
180,2.57,41.765335671320116,-87.6407715810098
181,0.5,41.901548651261926,-87.72617931605436
182,0.7,41.878633577418924,-87.68690749243441
183,2.46,41.7978126064176,-87.78856016543482
184,8.22,41.83438777045396,-87.6351365401036
185,29.95,41.763434745308714,-87.63746326323128
186,1.13,41.92230000000001,-87.65132999999997
187,0.67,41.991888326652195,-87.75247013906693
188,14.04,41.98655064643979,-87.79406152662384
189,0.98,41.88571687790375,-87.73552932427177
190,0.34,41.97847278263771,-87.65770822373352
191,8.13,41.81348537013874,-87.66638793017678
192,0.56,41.97351315281124,-87.74197031538246
193,1.32,41.81224000000009,-87.65565999999995
194,2.32,41.74128808371455,-87.73658660340732
195,27.84,41.74403864622289,-87.59470764780757
196,1.27,41.7534225361982,-87.7084642083754
197,8.23,41.726838075426336,-87.6541891417518
198,9.32,41.71872962985179,-87.6689812315562
199,0.07,41.99709734541248,-87.66303405478895
200,0.46,41.85780983048518,-87.6195048622005
201,1.97,41.88057000000009,-87.68777999999998
202,28.79,41.99744163905919,-87.70939373367877
203,0.4,41.85665865613047,-87.64731882523525
204,12.8,41.73944590077046,-87.73000671682766
205,0.39,41.91262028253446,-87.68178168327219
206,0.23,41.892791769080944,-87.77360572661482
207,0.31,41.861782536834085,-87.72023918320704
208,2.98,41.878737322936864,-87.6792048953952
209,0.28,41.773735438776214,-87.68964301969416
210,0.25,41.82115532723568,-87.61997631949077
211,4.41,41.917891809336695,-87.72295685946894
212,0.41,41.9453365304619,-87.66381014422298
213,0.73,41.888845798506075,-87.61775483564746
214,0.14,41.93879115124966,-87.6551360669911
215,1.57,41.9225691399609,-87.65720992483739
216,0.55,42.0161355896905,-87.66352349874863
217,2.8,41.92807626727084,-87.7586887027268
218,4.68,41.740074313971284,-87.61566011897241
219,0.41,41.820911039768966,-87.60321300554837
220,1.21,41.72080653509911,-87.66757973116323
221,0.17,42.008688691533,-87.68683610141613
222,8.39,42.00837893806736,-87.7045723032337
223,5.92,41.74405000000007,-87.60523
224,8.3,41.963680676776605,-87.64989072464365
225,0.79,41.99009537979947,-87.65540930043252
226,0.54,41.87497055616511,-87.70603438473195
227,2.72,41.772477043983464,-87.64022134917452
228,0.95,41.792875219210096,-87.59318440045139
229,2.45,41.87170606227912,-87.6646742545981
230,3.21,41.88779348438025,-87.76546739486766
231,4.78,41.845090000000084,-87.62737999999996
232,0.14,41.84291834655948,-87.64143591839438
233,0.44,41.93459420364016,-87.6831442771181
